sample_id,component,material,load_case,thickness_mm,cross_section_area_cm2,applied_load_kN,load_factor_g,von_mises_stress_MPa,effective_stress_MPa,stress_concentration_Kt,stress_ratio_R,strain,deformation_mm,elastic_modulus_GPa,yield_strength_MPa,density_g_cm3,temperature_C,fatigue_cycles,fatigue_limit_MPa,crack_length_mm,crack_growth_rate,cumulative_damage_index,safety_margin,utilization_ratio,structural_health_score,rul_cycles,failure_label,risk_class
6274,Rib_Section,Inconel_718,Gust_Load,20.49,100.18,59.17,1.045,18.19,27.29,1.5,-0.276,1e-05,0.001,200.0,1034,8.19,92.0,8244,620,0.0259,3.136e-09,0.0,10.0,0.0264,84.45,49999,0,Low
6275,Skin_Panel,Al_2024-T3,Gust_Load,2.06,31.74,602.29,2.674,190.41,190.41,1.0,-0.052,0.002578,1.6768,73.1,345,2.78,35.1,5153,138,50.0,5.2450625e-05,0.0187,1.812,0.5519,73.7,49066,0,Medium
6276,Landing_Gear,Inconel_718,Ground_Taxi,16.28,55.78,432.69,2.678,68.72,103.08,1.5,-0.662,0.000306,0.1576,200.0,1034,8.19,51.4,6978,620,1.1485,1.64591e-07,0.0,10.0,0.0997,97.18,49999,0,Low
6277,Bulkhead,Al_2024-T3,Ground_Taxi,28.33,55.58,19.5,-0.294,19.49,48.74,2.5,-0.171,0.000359,0.2259,73.1,345,2.78,1.2,1295,138,0.0135,1.0419e-08,0.0,7.079,0.1413,100.0,49999,0,Low
6278,Skin_Panel,Inconel_718,Gust_Load,2.38,49.5,524.63,-0.737,87.52,131.29,1.5,-0.53,0.00049,0.001,200.0,1034,8.19,-15.8,6470,620,50.0,9.392596e-06,0.0,7.876,0.127,72.25,49999,0,Medium
6279,Landing_Gear,Al_2024-T3,2.5g_Pull_Up,33.35,10.16,782.7,1.139,769.74,2500.0,3.5,0.718,0.010632,8.1125,73.1,345,2.78,-27.2,10589,138,50.0,0.052581827719,5.0,0.138,5.0,3.0,0,1,Critical
6280,Bulkhead,Al_2024-T3,2.5g_Pull_Up,9.54,66.47,103.26,1.903,7.01,10.51,1.5,0.208,0.00014,0.001,73.1,345,2.78,68.7,3457,138,0.0094,2.719e-09,0.0,10.0,0.0305,93.99,49999,0,Low
6281,Fuselage_Frame,Steel_4340,Neg1g_Push_Over,23.56,13.37,506.16,1.866,391.12,391.12,1.0,-0.884,0.002031,1.359,205.0,470,7.85,65.6,2940,413,50.0,4.3039459e-05,0.0024,1.202,0.8322,67.08,49881,0,Medium
6282,Wing_Spar,Al_7075-T6,Neg1g_Push_Over,22.41,97.22,622.08,0.198,49.79,99.57,2.0,-0.44,0.000736,0.001,71.7,503,2.81,136.5,5718,159,50.0,9.912402e-06,0.0001,5.052,0.198,70.04,49997,0,Medium
6283,Wing_Spar,Al_2024-T3,Gust_Load,22.63,84.5,69.45,0.14,5.0,12.5,2.5,-0.561,1e-05,0.0631,73.1,345,2.78,309.4,1591,138,0.0076,4.786e-09,0.0,10.0,0.0362,86.78,49999,0,Low
6284,Engine_Mount,Ti-6Al-4V,Pressurization,3.01,45.56,29.0,3.447,7.02,10.53,1.5,-0.285,5.3e-05,0.001,113.8,880,4.43,266.7,10192,510,0.0067,6.55e-10,0.0,10.0,0.012,86.01,49999,0,Low
6285,Bulkhead,Ti-6Al-4V,1g_Level_Flight,28.97,79.42,399.92,-0.176,72.67,218.01,3.0,-0.992,0.000635,0.4365,113.8,880,4.43,22.4,15137,510,50.0,5.110989e-06,0.0,4.036,0.2477,70.37,49999,0,Medium
6286,Landing_Gear,CFRP,1g_Level_Flight,31.97,31.8,674.6,0.981,204.15,510.39,2.5,0.389,0.001186,1.6205,135.0,600,1.6,59.0,13314,300,50.0,0.000163969085,0.0029,1.176,0.8506,66.78,49857,0,Medium
6287,Wing_Spar,Al_2024-T3,2.5g_Pull_Up,24.58,35.5,145.0,1.796,34.83,34.83,1.0,0.113,0.000375,0.1065,73.1,345,2.78,314.8,4932,138,1.4337,2.90691e-07,0.0,9.906,0.101,85.99,49998,0,Low
6288,Rib_Section,Al_2024-T3,Pressurization,31.61,41.13,712.78,2.029,153.09,382.74,2.5,0.039,0.002298,1.1216,73.1,345,2.78,-40.7,29564,138,50.0,0.001204743902,0.0448,0.901,1.1094,59.51,47760,0,Medium
6289,Wing_Spar,Al_2024-T3,1g_Level_Flight,4.33,96.66,561.52,3.178,43.35,43.35,1.0,0.189,0.000566,0.1817,73.1,345,2.78,201.7,1743,138,0.0128,7.349e-09,0.0,7.958,0.1257,99.0,49999,0,Low
6290,Tail_Assembly,Inconel_718,Hard_Landing,30.25,29.23,289.03,2.953,105.08,157.61,1.5,0.245,0.000515,0.001,200.0,1034,8.19,27.8,100,620,4.0406,4.0405623e-05,0.0,6.56,0.1524,90.77,49999,0,Low
6291,Tail_Assembly,Al_2024-T3,Ground_Taxi,11.04,69.72,443.29,-0.235,64.06,192.19,3.0,0.473,0.000659,0.6018,73.1,345,2.78,3.1,2166,138,3.9316,1.815136e-06,0.0001,1.795,0.5571,74.68,49994,0,Medium
6292,Wing_Spar,Al_2024-T3,1g_Level_Flight,34.22,28.05,821.08,-0.546,293.4,440.11,1.5,0.477,0.003879,1.3714,73.1,345,2.78,112.2,19307,138,50.0,0.00128973343,0.3945,0.784,1.2757,50.65,30274,0,Medium
6293,Bulkhead,Ti-6Al-4V,1g_Level_Flight,20.19,37.78,191.81,0.807,76.89,76.89,1.0,0.704,0.000724,0.3377,113.8,880,4.43,-28.8,23313,510,50.0,5.204464e-06,0.0,10.0,0.0874,75.17,49999,0,Low
6294,Engine_Mount,Al_7075-T6,Neg1g_Push_Over,19.03,32.08,429.61,2.492,108.83,163.25,1.5,-0.871,0.001471,0.7884,71.7,503,2.81,213.9,21812,159,50.0,3.3131612e-05,0.0048,3.081,0.3246,68.44,49760,0,Medium
6295,Wing_Spar,Al_7075-T6,Hard_Landing,27.12,79.18,534.57,2.719,102.28,306.85,3.0,-0.366,0.001316,0.3211,71.7,503,2.81,162.1,5880,159,50.0,0.000191719283,0.001,1.639,0.61,50.24,49949,0,Medium
6296,Fuselage_Frame,CFRP,1g_Level_Flight,21.26,65.57,125.93,0.621,36.88,55.32,1.5,0.221,0.000403,0.001,135.0,600,1.6,0.8,31175,300,3.8271,1.22763e-07,0.0,10.0,0.0922,90.26,49999,0,Low
6297,Skin_Panel,Ti-6Al-4V,Ground_Taxi,26.46,87.95,46.56,0.312,5.0,5.0,1.0,-0.026,1e-05,0.001,113.8,880,4.43,-31.8,33040,510,0.001,2.9e-11,0.0,10.0,0.0057,95.22,49999,0,Low
6298,Landing_Gear,Al_2024-T3,1g_Level_Flight,13.01,30.29,21.31,-0.558,12.9,19.35,1.5,0.661,4.6e-05,0.3372,73.1,345,2.78,54.3,25730,138,0.715,2.7789e-08,0.0,10.0,0.0561,93.64,49999,0,Low
6299,Engine_Mount,Al_7075-T6,2.5g_Pull_Up,26.4,6.05,282.74,2.25,456.94,1599.29,3.5,0.607,0.006377,3.7274,71.7,503,2.81,290.5,20036,159,50.0,0.075828783169,1.3666,0.315,3.1795,4.49,0,1,Critical
6300,Fuselage_Frame,Steel_4340,Hard_Landing,23.75,83.26,72.12,1.566,13.45,13.45,1.0,0.549,1e-05,0.0747,205.0,470,7.85,80.7,27589,413,0.0377,1.368e-09,0.0,10.0,0.0286,97.31,49999,0,Low
6301,Engine_Mount,Steel_4340,1g_Level_Flight,33.17,18.21,685.17,2.458,408.54,1225.63,3.0,-0.653,0.001911,1.3472,205.0,470,7.85,179.7,16107,413,50.0,0.157453517079,0.0154,0.383,2.6077,29.83,49228,1,Critical
6302,Fuselage_Frame,Steel_4340,Pressurization,24.03,33.33,847.75,3.318,244.69,244.69,1.0,-0.62,0.001188,0.2504,205.0,470,7.85,-54.5,49921,413,50.0,2.736835e-06,0.0062,1.921,0.5206,72.29,49692,0,Medium
6303,Landing_Gear,Al_2024-T3,Hard_Landing,9.89,40.15,61.5,1.171,11.83,11.83,1.0,0.256,9.8e-05,0.001,73.1,345,2.78,-24.1,14916,138,0.0304,2.035e-09,0.0,10.0,0.0343,100.0,49999,0,Low
6304,Landing_Gear,Al_2024-T3,1g_Level_Flight,14.35,90.88,373.49,0.723,29.74,29.74,1.0,0.723,0.00024,0.1363,73.1,345,2.78,87.6,2707,138,0.0016,5.95e-10,0.0,10.0,0.0862,86.66,49999,0,Low
6305,Tail_Assembly,CFRP,Ground_Taxi,23.44,76.98,31.61,2.23,5.0,5.0,1.0,-0.397,9.3e-05,0.001,135.0,600,1.6,-49.7,3024,300,0.0,0.0,0.0,10.0,0.0083,100.0,49999,0,Low
6306,Bulkhead,CFRP,Ground_Taxi,9.26,26.19,122.55,0.223,40.75,122.26,3.0,0.651,0.000388,0.001,135.0,600,1.6,61.5,8448,300,48.0861,5.692009e-06,0.0,4.908,0.2038,71.49,49999,0,Medium
6307,Fuselage_Frame,CFRP,Hard_Landing,14.96,73.76,281.25,1.725,21.71,54.27,2.5,0.683,0.000136,0.2399,135.0,600,1.6,-23.4,19065,300,1.6097,8.4433e-08,0.0,10.0,0.0905,79.26,49999,0,Low
6308,Skin_Panel,Inconel_718,Gust_Load,17.94,86.44,340.71,-0.068,35.46,53.19,1.5,-0.097,0.000239,0.1808,200.0,1034,8.19,33.6,2269,620,0.0517,2.2805e-08,0.0,10.0,0.0514,94.64,49999,0,Low
6309,Tail_Assembly,Steel_4340,Neg1g_Push_Over,12.71,49.72,799.42,1.488,161.59,161.59,1.0,0.389,0.000751,0.6457,205.0,470,7.85,113.4,3249,413,50.0,6.6755446e-05,0.0001,2.909,0.3438,71.51,49996,0,Medium
6310,Fuselage_Frame,Al_2024-T3,Neg1g_Push_Over,19.68,33.28,342.5,0.632,96.85,193.71,2.0,-0.695,0.001134,0.9464,73.1,345,2.78,58.5,1204,138,50.0,0.000110584028,0.0003,1.781,0.5615,63.82,49985,0,Medium
6311,Tail_Assembly,Steel_4340,2.5g_Pull_Up,34.26,83.08,426.87,1.404,16.89,16.89,1.0,0.262,0.000172,0.001,205.0,470,7.85,9.4,2750,413,0.0439,1.5947e-08,0.0,10.0,0.0359,95.6,49999,0,Low
6312,Landing_Gear,CFRP,Gust_Load,10.43,75.25,216.29,3.088,26.43,52.85,2.0,0.377,0.000186,0.1388,135.0,600,1.6,65.6,3729,300,0.3819,1.02408e-07,0.0,10.0,0.0881,94.55,49999,0,Low
6313,Engine_Mount,Al_2024-T3,Neg1g_Push_Over,11.18,13.96,10.11,1.351,6.53,19.59,3.0,-0.517,0.000104,0.001,73.1,345,2.78,306.3,12265,138,0.1149,9.368e-09,0.0,10.0,0.0568,93.03,49999,0,Low
6314,Rib_Section,Ti-6Al-4V,Hard_Landing,16.26,81.67,765.44,0.201,122.19,183.28,1.5,0.021,0.001063,0.9147,113.8,880,4.43,111.3,7376,510,50.0,0.000173397565,0.0,4.801,0.2083,62.8,49998,0,Medium
6315,Tail_Assembly,Al_7075-T6,Neg1g_Push_Over,4.04,61.18,78.64,2.323,13.26,13.26,1.0,0.405,0.000167,0.1652,71.7,503,2.81,5.3,1477,159,0.0031,2.106e-09,0.0,10.0,0.0264,98.81,49999,0,Low
6316,Fuselage_Frame,Al_7075-T6,2.5g_Pull_Up,18.06,91.64,819.97,3.205,103.51,155.27,1.5,-0.819,0.001458,0.2774,71.7,503,2.81,116.5,2587,159,50.0,2.7233893e-05,0.0005,3.24,0.3087,60.13,49976,0,Medium
6317,Fuselage_Frame,CFRP,1g_Level_Flight,2.8,26.93,119.91,0.281,38.14,57.2,1.5,-0.949,0.000299,0.1979,135.0,600,1.6,63.4,11006,300,0.2726,2.4766e-08,0.0,10.0,0.0953,86.67,49999,0,Low
6318,Rib_Section,Steel_4340,Neg1g_Push_Over,18.89,34.69,518.1,1.623,168.8,590.81,3.5,-0.705,0.00095,0.5344,205.0,470,7.85,-4.7,2121,413,50.0,0.010358210796,0.0001,0.796,1.257,42.91,49997,1,High
6319,Bulkhead,Ti-6Al-4V,Hard_Landing,20.64,67.48,849.5,2.248,111.72,279.3,2.5,-0.523,0.001026,0.4457,113.8,880,4.43,52.7,19578,510,50.0,0.000216465283,0.0,3.151,0.3174,65.62,49997,0,Medium
6320,Skin_Panel,Al_2024-T3,Hard_Landing,22.99,60.4,126.31,2.073,28.49,42.73,1.5,0.042,0.000507,0.0758,73.1,345,2.78,11.5,1502,138,0.1237,8.2356e-08,0.0,8.074,0.1239,96.34,49999,0,Low
6321,Landing_Gear,Steel_4340,2.5g_Pull_Up,32.69,49.43,366.11,-0.474,86.67,173.34,2.0,0.64,0.000573,0.0764,205.0,470,7.85,57.5,3164,413,50.0,7.3820637e-05,0.0,2.711,0.3688,74.85,49999,0,Medium
6322,Fuselage_Frame,CFRP,Pressurization,13.22,90.79,665.56,3.493,83.71,83.71,1.0,-0.212,0.000459,0.3611,135.0,600,1.6,83.4,31313,300,50.0,2.931535e-06,0.0002,7.168,0.1395,76.68,49990,0,Low
6323,Wing_Spar,Steel_4340,2.5g_Pull_Up,27.78,69.95,37.04,-0.811,37.76,37.76,1.0,-0.289,0.000312,0.1331,205.0,470,7.85,250.3,11439,413,4.8008,4.19689e-07,0.0,10.0,0.0803,88.02,49999,0,Low
6324,Engine_Mount,CFRP,Pressurization,28.09,86.68,589.42,2.642,59.23,118.47,2.0,0.266,0.000504,0.001,135.0,600,1.6,117.5,67880,300,50.0,8.232276e-06,0.0001,5.065,0.1974,69.47,49994,0,Medium
6325,Tail_Assembly,Inconel_718,Ground_Taxi,10.26,22.62,77.51,-0.924,55.47,55.47,1.0,-0.956,0.000326,0.0425,200.0,1034,8.19,116.8,2481,620,3.9483,1.591417e-06,0.0,10.0,0.0536,96.65,49999,0,Low
6326,Bulkhead,Al_7075-T6,Ground_Taxi,6.12,88.83,208.68,0.283,40.83,40.83,1.0,0.516,0.000668,0.5047,71.7,503,2.81,17.2,1209,159,0.1915,1.58419e-07,0.0,10.0,0.0812,100.0,49999,0,Low
6327,Skin_Panel,Al_7075-T6,Ground_Taxi,6.72,58.08,144.46,1.052,25.62,25.62,1.0,-0.248,0.000331,0.1066,71.7,503,2.81,-24.1,1183,159,0.028,2.3646e-08,0.0,10.0,0.0509,100.0,49999,0,Low
6328,Rib_Section,Steel_4340,Pressurization,23.09,8.88,772.16,0.992,896.82,896.82,1.0,-0.783,0.004435,0.8759,205.0,470,7.85,74.4,41079,413,50.0,0.000629796836,0.9133,0.524,1.9081,44.44,4332,1,High
6329,Engine_Mount,Ti-6Al-4V,1g_Level_Flight,21.92,31.97,161.58,-0.189,48.35,96.7,2.0,-0.083,0.000319,0.001,113.8,880,4.43,93.5,15459,510,50.0,1.2152355e-05,0.0,9.1,0.1099,64.84,49999,0,Medium
6330,Landing_Gear,Al_2024-T3,Hard_Landing,11.91,7.96,43.96,1.236,55.55,138.88,2.5,-0.059,0.000619,0.3274,73.1,345,2.78,87.9,6166,138,50.0,5.1634231e-05,0.0002,2.484,0.4026,64.52,49991,0,Medium
6331,Bulkhead,CFRP,Ground_Taxi,15.42,57.54,503.61,2.754,87.44,218.6,2.5,-0.321,0.000701,0.5012,135.0,600,1.6,-54.7,7269,300,1.5485,2.13032e-07,0.0001,2.745,0.3643,93.04,49997,0,Low
6332,Skin_Panel,Al_2024-T3,Hard_Landing,10.95,42.48,300.79,3.195,51.72,181.01,3.5,0.37,0.000701,0.4276,73.1,345,2.78,5.8,18067,138,23.9267,1.32433e-06,0.0004,1.906,0.5247,67.55,49982,0,Medium
6333,Tail_Assembly,Al_7075-T6,2.5g_Pull_Up,7.84,118.56,350.79,2.75,41.01,123.03,3.0,-0.703,0.000572,0.001,71.7,503,2.81,0.0,14382,159,50.0,6.043666e-06,0.0001,4.088,0.2446,68.14,49996,0,Medium
6334,Tail_Assembly,Ti-6Al-4V,1g_Level_Flight,7.01,104.88,110.01,2.484,19.57,29.36,1.5,0.745,9.2e-05,0.001,113.8,880,4.43,106.7,6596,510,0.0695,1.0541e-08,0.0,10.0,0.0334,88.15,49999,0,Low
6335,Rib_Section,Ti-6Al-4V,2.5g_Pull_Up,16.73,99.95,638.52,0.447,62.31,93.47,1.5,0.616,0.000587,0.2565,113.8,880,4.43,6.2,17568,510,32.3645,1.842241e-06,0.0,9.415,0.1062,84.46,49999,0,Low
6336,Wing_Spar,Al_2024-T3,Hard_Landing,27.97,62.63,515.31,1.54,108.72,163.08,1.5,0.311,0.001445,0.832,73.1,345,2.78,310.4,6291,138,38.9496,6.191327e-06,0.0024,2.116,0.4727,62.4,49878,0,Medium
6337,Rib_Section,Al_7075-T6,Gust_Load,27.85,97.82,315.94,1.049,25.74,25.74,1.0,-0.612,0.000354,0.243,71.7,503,2.81,-54.4,9032,159,0.525,5.8129e-08,0.0,10.0,0.0512,91.97,49999,0,Low
6338,Landing_Gear,Al_2024-T3,Pressurization,34.75,35.69,154.12,-0.769,17.24,43.09,2.5,0.075,0.000187,0.128,73.1,345,2.78,86.4,28536,138,0.018,6.29e-10,0.0,8.006,0.1249,84.01,49999,0,Low
6339,Bulkhead,Steel_4340,Gust_Load,33.96,69.47,508.5,0.659,101.73,203.45,2.0,0.06,0.000416,0.001,205.0,470,7.85,-35.1,1887,413,50.0,0.000200088407,0.0,2.31,0.4329,71.0,49999,0,Medium
6340,Bulkhead,Ti-6Al-4V,Ground_Taxi,19.41,50.19,664.02,0.143,147.48,147.48,1.0,-0.368,0.001275,0.4684,113.8,880,4.43,99.4,8496,510,29.3914,3.45944e-06,0.0001,5.967,0.1676,89.26,49997,0,Low
6341,Fuselage_Frame,Ti-6Al-4V,Gust_Load,4.41,24.7,272.41,-0.11,119.66,239.32,2.0,-0.18,0.00117,0.5873,113.8,880,4.43,73.6,1446,510,50.0,0.000171172889,0.0,3.677,0.272,56.35,49999,0,Medium
6342,Wing_Spar,Steel_4340,2.5g_Pull_Up,6.9,13.35,31.72,2.996,18.67,18.67,1.0,-0.704,4.4e-05,0.031,205.0,470,7.85,266.3,592,413,0.0075,1.275e-08,0.0,10.0,0.0397,98.39,49999,0,Low
6343,Wing_Spar,Al_7075-T6,Pressurization,31.66,69.2,190.05,0.447,32.6,48.9,1.5,-0.512,0.000442,0.2181,71.7,503,2.81,109.9,50753,159,7.3135,1.441e-07,0.0001,10.0,0.0972,92.09,49995,0,Low
6344,Bulkhead,Ti-6Al-4V,Gust_Load,16.85,16.23,583.21,1.524,340.47,1021.41,3.0,-0.517,0.002965,0.8193,113.8,880,4.43,83.8,12401,510,50.0,0.039501965594,0.0025,0.862,1.1607,44.91,49876,1,High
6345,Bulkhead,Inconel_718,Neg1g_Push_Over,28.15,87.57,840.84,-0.554,92.64,92.64,1.0,-0.701,0.000399,0.1856,200.0,1034,8.19,76.6,56651,620,50.0,4.081545e-06,0.0,10.0,0.0896,70.84,49998,0,Medium
6346,Engine_Mount,Inconel_718,1g_Level_Flight,21.97,110.97,21.24,2.537,5.0,7.5,1.5,-0.534,0.000148,0.0551,200.0,1034,8.19,255.8,29371,620,0.0005,1.8e-11,0.0,10.0,0.0073,86.43,49999,0,Low
6347,Skin_Panel,Inconel_718,Hard_Landing,24.67,23.64,267.17,-0.813,116.93,116.93,1.0,0.173,0.000449,0.3939,200.0,1034,8.19,99.1,63282,620,50.0,7.033997e-06,0.0001,8.843,0.1131,79.38,49995,0,Low
6348,Engine_Mount,CFRP,Pressurization,32.9,59.16,62.1,0.487,24.35,36.52,1.5,0.431,0.000172,0.1916,135.0,600,1.6,244.3,40913,300,11.2958,2.76094e-07,0.0,10.0,0.0609,84.59,49999,0,Low
6349,Engine_Mount,CFRP,Ground_Taxi,16.11,89.96,275.73,0.415,14.94,29.87,2.0,0.751,2.6e-05,0.001,135.0,600,1.6,229.5,31710,300,5.1661,1.62918e-07,0.0,10.0,0.0498,86.61,49999,0,Low
6350,Wing_Spar,Al_7075-T6,2.5g_Pull_Up,14.07,37.99,350.97,-0.531,103.27,103.27,1.0,-0.55,0.001497,0.1941,71.7,503,2.81,274.5,19323,159,4.2227,2.1853e-07,0.0034,4.871,0.2053,84.76,49828,0,Low
6351,Fuselage_Frame,Steel_4340,1g_Level_Flight,11.19,110.89,783.52,-0.346,73.66,147.31,2.0,-0.974,0.000373,0.2966,205.0,470,7.85,10.1,19901,413,50.0,4.572977e-06,0.0,3.191,0.3134,77.46,49998,0,Low
6352,Tail_Assembly,Al_2024-T3,Ground_Taxi,28.06,107.17,77.67,0.586,17.51,35.01,2.0,-0.105,0.000358,0.001,73.1,345,2.78,76.4,42891,138,5.5972,1.30498e-07,0.0,9.854,0.1015,87.21,49999,0,Low
6353,Engine_Mount,Al_7075-T6,2.5g_Pull_Up,7.48,16.93,662.79,3.389,387.82,1163.45,3.0,0.722,0.005482,2.5223,71.7,503,2.81,174.1,56590,159,50.0,0.034424057971,2.0029,0.432,2.313,13.31,0,1,Critical
6354,Fuselage_Frame,Al_2024-T3,Gust_Load,33.54,8.15,342.25,1.688,430.45,645.67,1.5,0.127,0.005897,3.7792,73.1,345,2.78,27.3,43243,138,50.0,0.000441937464,4.0934,0.534,1.8715,26.23,0,1,Critical
6355,Rib_Section,Al_7075-T6,Pressurization,34.4,117.29,691.46,1.335,48.51,48.51,1.0,0.754,0.000751,0.0142,71.7,503,2.81,3.7,9901,159,0.1144,1.1554e-08,0.0001,10.0,0.0965,86.04,49995,0,Low
6356,Landing_Gear,CFRP,Hard_Landing,14.12,114.99,441.26,0.164,13.14,26.28,2.0,0.273,0.000181,0.4041,135.0,600,1.6,-28.2,31427,300,2.5779,8.2028e-08,0.0,10.0,0.0438,100.0,49999,0,Low
6357,Engine_Mount,Inconel_718,Pressurization,32.17,53.56,43.0,2.033,5.0,7.5,1.5,-0.054,1e-05,0.091,200.0,1034,8.19,126.9,10707,620,0.0033,3.08e-10,0.0,10.0,0.0073,94.58,49999,0,Low
6358,Rib_Section,Steel_4340,Neg1g_Push_Over,8.4,10.81,804.81,3.374,736.64,736.64,1.0,-0.602,0.003671,1.6721,205.0,470,7.85,23.3,12460,413,50.0,0.004946784293,0.1261,0.638,1.5673,56.45,43694,0,Medium
6359,Tail_Assembly,CFRP,Neg1g_Push_Over,26.16,76.17,79.5,0.183,5.0,10.0,2.0,-0.76,6.7e-05,0.1104,135.0,600,1.6,-6.1,26062,300,0.039,1.498e-09,0.0,10.0,0.0167,84.52,49999,0,Low
6360,Landing_Gear,Steel_4340,Pressurization,16.9,38.74,512.05,-0.005,155.43,155.43,1.0,0.465,0.000807,0.4338,205.0,470,7.85,58.1,26587,413,50.0,5.9582337e-05,0.0005,3.024,0.3307,74.04,49973,0,Medium
6361,Landing_Gear,Al_2024-T3,Gust_Load,28.58,112.72,747.24,3.33,65.05,65.05,1.0,-0.348,0.000849,0.2291,73.1,345,2.78,-35.6,26044,138,23.3413,8.96226e-07,0.0013,5.304,0.1885,80.89,49935,0,Low
6362,Tail_Assembly,Al_7075-T6,Hard_Landing,33.44,96.39,77.01,2.897,21.78,43.56,2.0,-0.462,0.000218,0.272,71.7,503,2.81,40.1,26438,159,1.5409,5.8285e-08,0.0,10.0,0.0866,92.28,49999,0,Low
6363,Engine_Mount,Ti-6Al-4V,1g_Level_Flight,19.86,79.7,475.27,0.879,71.44,142.87,2.0,-0.029,0.000524,0.3621,113.8,880,4.43,298.7,8351,510,50.0,6.493017e-06,0.0,6.159,0.1624,57.49,49999,0,Medium
6364,Wing_Spar,Ti-6Al-4V,Hard_Landing,15.06,37.72,702.4,1.417,186.32,372.64,2.0,0.683,0.001296,0.0248,113.8,880,4.43,94.7,11340,510,50.0,0.000143395913,0.0002,2.362,0.4235,71.75,49989,0,Medium
6365,Tail_Assembly,Steel_4340,Gust_Load,4.12,85.65,838.51,2.767,150.95,377.38,2.5,-0.436,0.000665,0.1227,205.0,470,7.85,112.9,4370,413,50.0,0.0008187177,0.0001,1.245,0.8029,72.08,49996,0,Medium
6366,Tail_Assembly,Inconel_718,2.5g_Pull_Up,24.18,38.25,618.44,0.924,205.58,205.58,1.0,-0.986,0.001272,0.5886,200.0,1034,8.19,49.1,9338,620,50.0,5.795414e-05,0.0001,5.03,0.1988,75.87,49994,0,Low
6367,Tail_Assembly,Inconel_718,Pressurization,11.0,9.33,243.8,2.572,282.26,282.26,1.0,0.516,0.001494,1.1564,200.0,1034,8.19,-16.0,48554,620,50.0,0.000194762228,0.0021,3.663,0.273,78.06,49895,0,Low
6368,Landing_Gear,Steel_4340,Pressurization,24.47,63.47,597.64,0.19,80.58,282.04,3.5,0.557,0.000425,0.0855,205.0,470,7.85,90.9,25438,413,50.0,0.000285092664,0.0,1.666,0.6001,62.57,49998,0,Medium
6369,Skin_Panel,CFRP,Pressurization,10.73,61.2,602.84,0.351,120.0,180.0,1.5,-0.86,0.000985,0.8081,135.0,600,1.6,-1.3,6757,300,50.0,6.4643686e-05,0.0002,3.333,0.3,76.9,49991,0,Low
6370,Fuselage_Frame,Ti-6Al-4V,Pressurization,26.65,92.75,597.97,1.347,38.25,133.86,3.5,0.134,0.00031,0.0958,113.8,880,4.43,72.7,15032,510,32.5487,2.165295e-06,0.0,6.574,0.1521,71.15,49999,0,Medium
6371,Rib_Section,CFRP,1g_Level_Flight,29.62,104.55,727.58,-0.036,90.54,181.08,2.0,-0.286,0.000631,0.1542,135.0,600,1.6,55.0,4383,300,50.0,2.895871e-05,0.0,3.313,0.3018,70.88,49998,0,Medium
6372,Wing_Spar,Al_2024-T3,Neg1g_Push_Over,10.03,45.76,83.4,2.76,5.0,10.0,2.0,0.527,3.9e-05,0.0534,73.1,345,2.78,295.6,3481,138,0.0,5e-12,0.0,10.0,0.029,79.7,49999,0,Low
6373,Engine_Mount,Ti-6Al-4V,Gust_Load,32.63,56.69,101.07,-0.588,13.04,19.57,1.5,0.07,4.1e-05,0.001,113.8,880,4.43,238.6,8108,510,0.1978,2.4391e-08,0.0,10.0,0.0222,85.65,49999,0,Low
6374,Engine_Mount,Al_2024-T3,2.5g_Pull_Up,16.56,59.1,548.12,0.02,110.89,277.22,2.5,-0.738,0.001452,0.762,73.1,345,2.78,99.0,2827,138,50.0,5.0910879e-05,0.0012,1.245,0.8035,58.48,49941,0,Medium
6375,Rib_Section,Al_7075-T6,Gust_Load,5.0,42.29,811.26,2.254,197.63,296.44,1.5,-0.017,0.002755,2.1626,71.7,503,2.81,62.0,12136,159,50.0,0.001039232311,0.029,1.697,0.5894,64.5,48551,0,Medium
6376,Fuselage_Frame,CFRP,Ground_Taxi,27.64,90.49,401.3,1.333,22.17,55.42,2.5,-0.675,0.000171,0.001,135.0,600,1.6,-32.1,8295,300,12.1781,1.468123e-06,0.0,10.0,0.0924,93.02,49999,0,Low
6377,Tail_Assembly,Steel_4340,Ground_Taxi,3.84,65.04,816.87,-0.873,128.15,192.22,1.5,-0.431,0.000758,0.3385,205.0,470,7.85,-24.8,2230,413,50.0,9.4144569e-05,0.0,2.445,0.409,72.71,49998,0,Medium
6378,Skin_Panel,Ti-6Al-4V,Ground_Taxi,32.97,110.1,797.99,1.037,78.26,156.52,2.0,0.026,0.00079,0.0269,113.8,880,4.43,-46.2,18083,510,50.0,7.559185e-06,0.0,5.622,0.1779,73.94,49999,0,Medium
6379,Wing_Spar,CFRP,Neg1g_Push_Over,33.12,79.79,768.44,-0.278,99.39,248.46,2.5,-0.335,0.000588,0.7418,135.0,600,1.6,298.0,19148,300,8.1343,4.24811e-07,0.0002,2.415,0.4141,78.23,49988,0,Low
6380,Engine_Mount,Steel_4340,Hard_Landing,22.59,29.37,774.27,0.948,257.54,643.84,2.5,0.016,0.001227,0.1525,205.0,470,7.85,108.2,33169,413,50.0,0.005090978634,0.005,0.73,1.3699,54.62,49749,0,Medium
